year,opening_cash,opening_financial_debt,opening_revolver,opening_lease_liability,entry_enterprise_value,transaction_fees,purchase_price,total_uses,debt_sources,cash_sources,opening_cash_use,total_sources,sponsor_equity,revenue,ebitda,da,ebit,negative_ebitda_flag,operating_cash_generation,cash_before_financing,cash_taxes,capex,working_capital,delta_working_capital,cash_interest,lease_interest_cash_payment,lease_interest,lease_principal_cash_payment,lease_additions,scheduled_debt_amortisation,actual_mandatory_amortisation,unpaid_amortisation,payment_default_flag,cash_after_mandatory_amortisation,revolver_draw_for_amortisation,revolver_draw_for_liquidity,revolver_draw,revolver_repayment,cash_sweep,funding_deficit,insolvency_flag,cash_after_financing,debt_balance,revolver_balance,lease_liability,cash,ending_cash,exit_enterprise_value,exit_equity,scenario_id,scenario_type,analytic_leverage,analytic_icr,simulated_leverage,simulated_icr,leverage_difference,icr_difference
5,25.0,270.0,37.43067007867811,195.72045901578736,5700.0,171.0,5700.0,5901.0,390.0,0.0,30.0,5901.0,5511.0,622.1076958419907,120.48735865984756,18.66323087525972,101.82412778458783,False,49.611715447396364,47.96835711907125,18.39806615726944,24.884307833679628,12.442153916839814,-0.6385939340079236,18.44584020472069,9.786022950789368,9.786022950789368,26.643358328325114,7.824271077883616,30.0,30.0,0.0,False,17.96835711907125,0.0,7.03164288092875,7.03164288092875,0.0,0.0,0.0,False,25.0,240.0,44.46231295960686,176.90137176534586,25.0,25.0,963.8988692787805,513.0767015146461,0183,base,3.616722296881078,4.816939197854565,3.6216553303062073,4.267779210892494,-0.004933033425129185,0.5491599869620716
1,55.0,610.0,0.0,470.0,10875.0,326.25,10875.0,11256.25,610.0,0.0,55.0,11256.25,10646.25,1450.0,326.05703062440716,43.5,282.55703062440716,False,152.34277296830535,151.25394358792087,55.61425765610179,58.0,29.0,0.0,36.6,23.5,23.5,56.08882938038448,21.578108013406165,30.0,30.0,0.0,False,121.25394358792087,0.0,0.0,0.0,0.0,92.26564257127532,0.0,False,28.98830101664555,487.7343574287247,0.0,435.4892786330217,28.98830101664555,28.98830101664555,0.0,0.0,0184,base,2.639387580971319,6.889367469985363,2.7425733876451566,5.425241774116592,-0.10318580667383737,1.4641256958687707
2,28.98830101664555,487.7343574287247,0.0,435.4892786330217,10875.0,326.25,10875.0,11256.25,610.0,0.0,55.0,11256.25,10646.25,1544.5767185379152,347.32420580556095,46.337301556137454,300.9869042494235,False,170.12398259789927,147.14189245234425,62.48709471801223,61.78306874151661,30.891534370758304,1.891534370758304,29.26406144572348,21.774463931651084,21.774463931651084,51.97039116220058,22.985547081105924,30.0,30.0,0.0,False,117.14189245234425,0.0,0.0,0.0,0.0,89.75727134266414,0.0,False,27.38462110968011,367.9770860860606,0.0,406.50443455192703,27.38462110968011,27.38462110968011,0.0,0.0,0184,base,2.077698878381472,8.811320528229508,2.1510072924388903,6.805137947020901,-0.0733084140574185,2.0061825812086074
3,27.38462110968011,367.9770860860606,0.0,406.50443455192703,10875.0,326.25,10875.0,11256.25,610.0,0.0,55.0,11256.25,10646.25,1645.322234103003,369.97853935995926,49.35966702309009,320.6188723368692,False,190.1931364307501,169.06635781287125,69.5537563610273,65.81288936412012,32.90644468206006,2.014910311301758,22.078625165163633,20.325221727596354,20.325221727596354,48.511399727558945,24.484786816781618,30.0,30.0,0.0,False,139.06635781287125,0.0,0.0,0.0,0.0,103.13130203922468,0.0,False,35.93505577364657,234.8457840468359,0.0,382.47782164114966,35.93505577364657,35.93505577364657,0.0,0.0,0184,base,1.550373161978823,11.990442705910084,1.5714115497620655,8.725117329464021,-0.021038387783242518,3.2653253764460626
4,35.93505577364657,234.8457840468359,0.0,382.47782164114966,10875.0,326.25,10875.0,11256.25,610.0,0.0,55.0,11256.25,10646.25,1752.6389084746813,394.11050914072877,52.57916725424044,341.53134188648835,False,211.56480524903515,201.85574766138052,77.07917594040518,70.10555633898726,35.05277816949363,2.146333487433566,14.090747042810152,19.123891082057483,19.123891082057483,45.644113361301216,26.08181494866549,30.0,30.0,0.0,False,171.85574766138052,0.0,0.0,0.0,0.0,123.1329896126412,0.0,False,48.72275804873932,81.71279443419469,0.0,362.91552322851396,48.72275804873932,48.72275804873932,0.0,0.0,0184,base,1.0516358893158775,18.30859068694722,1.004554688168946,11.865566852154268,0.047081201146931484,6.443023834792951
5,48.72275804873932,81.71279443419469,0.0,362.91552322851396,10875.0,326.25,10875.0,11256.25,610.0,0.0,55.0,11256.25,10646.25,1866.955347609446,419.8164944482027,56.008660428283385,363.8078340199193,False,234.61358538554168,240.02675436649997,85.18982254811048,74.67821390437784,37.33910695218892,2.2863287826952927,4.902767666051681,18.145776161425697,18.145776161425697,43.309589067781026,27.78300975649854,30.0,30.0,0.0,False,210.02675436649997,0.0,0.0,0.0,0.0,51.71279443419469,0.0,False,158.3139599323053,0.0,0.0,347.3889439172315,158.3139599323053,158.3139599323053,3358.5319555856217,3119.0789922669114,0184,base,0.5774712749279084,37.06387785347357,0.4503753103685029,18.214447628041363,0.12709596455940547,18.849430225432208
1,55.0,610.0,0.0,470.0,10875.0,326.25,10875.0,11256.25,610.0,0.0,55.0,11256.25,10646.25,1450.0,376.56264481528166,43.5,333.06264481528166,False,190.2219836114612,204.4379269379321,68.24066120382041,58.0,29.0,0.0,36.6,23.5,23.5,40.78405667352911,10.935055531459144,30.0,30.0,0.0,False,174.4379269379321,0.0,0.0,0.0,0.0,109.9198862579629,0.0,False,64.5180406799692,470.0801137420371,0.0,440.15099885793006,64.5180406799692,64.5180406799692,0.0,0.0,0185,base,2.8761558193210157,6.324840710091531,2.2458761737634716,6.265601411235967,0.6302796455575441,0.059239298855564115
2,64.5180406799692,470.0801137420371,0.0,440.15099885793006,10875.0,326.25,10875.0,11256.25,610.0,0.0,55.0,11256.25,10646.25,1460.4458096646638,379.27540461842847,43.813374289939915,335.46203032848854,False,199.12388088086243,225.44799968352893,71.31241839026745,58.417832386586554,29.208916193293277,0.20891619329327682,28.204806824522226,22.007549942896503,22.007549942896503,38.19392187730269,11.013831744393041,30.0,30.0,0.0,False,195.44799968352893,0.0,0.0,0.0,0.0,121.21634597587365,0.0,False,74.23165370765528,318.86376776616345,0.0,412.9709087250204,74.23165370765528,74.23165370765528,0.0,0.0,0185,base,2.5084709708514232,7.287042251931536,1.733840409306564,7.553427662740753,0.7746305615448592,-0.2663854108092174
3,74.23165370765528,318.86376776616345,0.0,412.9709087250204,10875.0,326.25,10875.0,11256.25,610.0,0.0,55.0,11256.25,10646.25,1470.9668710117762,382.00770716127846,44.12900613035328,337.8787010309252,False,208.65365720946826,247.04993018103835,74.52458238217609,58.83867484047105,29.419337420235525,0.2104212269422483,19.131826065969808,20.648545436251023,20.648545436251023,35.83538073608521,11.093175461689981,30.0,30.0,0.0,False,217.04993018103835,0.0,0.0,0.0,0.0,132.83102911614807,0.0,False,84.21890106489028,156.03273865001538,0.0,388.2287034506252,84.21890106489028,84.21890106489028,0.0,0.0,0185,base,2.137564380343746,8.622695098805607,1.2042755484028143,9.602919548902452,0.9332888319409318,-0.9802244500968449
4,84.21890106489028,156.03273865001538,0.0,388.2287034506252,10875.0,326.25,10875.0,11256.25,610.0,0.0,55.0,11256.25,10646.25,1481.563726154959,384.7596932298587,44.44691178464877,340.31278144520996,False,218.62696210084508,269.1574771150523,77.88484548841944,59.262549046198366,29.631274523099183,0.21193710286365786,9.361964319000922,19.41143517253126,19.41143517253126,33.68838605068303,11.173090771655177,30.0,30.0,0.0,False,239.1574771150523,0.0,0.0,0.0,0.0,126.03273865001538,0.0,False,113.12473846503693,0.0,0.0,365.7134081715973,113.12473846503693,113.12473846503693,0.0,0.0,0185,base,1.7616937802803518,10.610647933825414,0.6564842267811606,13.372062391970434,1.1052095534991913,-2.761414458145021
5,113.12473846503693,0.0,0.0,365.7134081715973,10875.0,326.25,10875.0,11256.25,610.0,0.0,55.0,11256.25,10646.25,1492.2369211132245,387.53150462441977,44.76710763339673,342.76439699102303,False,228.2232118265348,309.6133197274442,81.1196816456108,59.68947684452898,29.84473842226449,0.2134638991653084,0.0,18.285670408579865,18.285670408579865,31.73463056412746,11.25358179204602,0.0,0.0,0.0,False,309.6133197274442,0.0,0.0,0.0,0.0,0.0,0.0,False,309.6133197274442,0.0,0.0,345.2323593995158,309.6133197274442,309.6133197274442,3100.252036995358,3018.1292167683564,0185,base,1.3791683352428452,13.897361215513433,0.09191262967534,21.193180012835906,1.2872557055675051,-7.2958187973224735
1,45.0,520.0,0.0,390.0,9000.0,270.0,9000.0,9315.0,520.0,0.0,45.0,9315.0,8795.0,1200.0,248.3864731102658,36.0,212.3864731102658,False,109.26485483269937,114.14296938390893,40.42161827756645,48.0,24.0,0.0,31.2,19.5,19.5,40.12188544879044,8.833765336827806,30.0,30.0,0.0,False,84.14296938390893,0.0,0.0,0.0,0.0,59.142969383908934,0.0,False,25.0,430.85703061609104,0.0,358.7118798880374,25.0,25.0,0.0,0.0,0186,base,3.025472587178243,5.97076559480249,3.078142303525179,4.899141481464809,-0.052669716346935846,1.0716241133376814
2,25.0,430.85703061609104,0.0,358.7118798880374,9000.0,270.0,9000.0,9315.0,520.0,0.0,45.0,9315.0,8795.0,1231.0849580826673,254.8207090310443,36.932548742480016,217.88816028856428,False,117.64330960041768,105.74024048762766,43.525286114299234,49.24339832330669,24.621699161653346,0.6216991616533463,25.85142183696546,17.93559399440187,17.93559399440187,36.90306911279003,9.062596357833984,30.0,30.0,0.0,False,75.74024048762766,0.0,0.0,0.0,0.0,50.74024048762766,0.0,False,25.0,350.1167901284634,0.0,330.87140713308133,25.0,25.0,0.0,0.0,0186,base,2.6031133852440798,6.947809858739672,2.5743127383796227,5.819549567214411,0.028800646864457047,1.1282602915252609
3,25.0,350.1167901284634,0.0,330.87140713308133,9000.0,270.0,9000.0,9315.0,520.0,0.0,45.0,9315.0,8795.0,1262.9751450145025,261.4216182467323,37.889254350435074,223.53236389629723,False,126.2187844101698,117.17984929408368,46.495446532983834,50.519005800580096,25.259502900290048,0.6378037386367019,21.007007407707803,16.54357035665407,16.54357035665407,34.03893511608613,9.297355047753488,30.0,30.0,0.0,False,87.17984929408368,0.0,0.0,0.0,0.0,61.28875252546318,0.0,False,25.8910967686205,258.8280376030002,0.0,306.1298270647487,25.8910967686205,25.8910967686205,0.0,0.0,0186,base,2.1912906875295755,8.285378546039096,2.062058874527936,6.961853420397693,0.12923181300163966,1.3235251256414031
4,25.8910967686205,258.8280376030002,0.0,306.1298270647487,9000.0,270.0,9000.0,9315.0,520.0,0.0,45.0,9315.0,8795.0,1295.6914195496913,268.1935182843179,38.870742586490735,229.32277569782718,False,135.25371188010658,129.65120389500944,49.62165052210243,51.827656781987656,25.913828390993828,0.6543254907037799,15.529682256180012,15.306491353237437,15.306491353237437,31.493604753717626,9.538194957702732,30.0,30.0,0.0,False,99.65120389500944,0.0,0.0,0.0,0.0,67.81166384851117,0.0,False,31.83954004649827,161.01637375448905,0.0,284.1744172687338,31.83954004649827,31.83954004649827,0.0,0.0,0186,base,1.7871814198438054,10.241393718162058,1.5412425088458765,8.697366984677076,0.24593891099792886,1.5440267334849818
5,31.83954004649827,161.01637375448905,0.0,284.1744172687338,9000.0,270.0,9000.0,9315.0,520.0,0.0,45.0,9315.0,8795.0,1329.2551807703362,275.14083851257715,39.877655423110085,235.26318308946708,False,144.5812828184545,147.18591666717606,52.84836995019026,53.170207230813446,26.585103615406723,0.671275224412895,9.660982425269342,14.20872086343669,14.20872086343669,29.2349061977767,9.78527361640648,30.0,30.0,0.0,False,117.18591666717606,0.0,0.0,0.0,0.0,76.98287099865263,0.0,False,40.20304566852343,54.03350275583642,0.0,264.7247846873636,40.20304566852343,40.20304566852343,2201.126708100617,1889.5545657044315,0186,base,1.3882642386049409,13.394728748799558,1.0124096563801936,11.526780839490376,0.3758545822247472,1.8679479093091818
1,35.0,470.0,0.0,360.0,7350.0,220.5,7350.0,7605.5,470.0,0.0,35.0,7605.5,7135.5,980.0,223.18047746633286,29.4,193.78047746633285,False,100.88535809974967,93.35480213761946,36.895119366583216,39.2,19.6,0.0,28.2,18.0,18.0,42.53055596213022,9.662151294771157,30.0,30.0,0.0,False,63.35480213761946,0.0,0.0,0.0,0.0,38.35480213761946,0.0,False,25.0,401.64519786238054,0.0,327.1315953326409,25.0,25.0,0.0,0.0,0187,base,3.497591537381286,5.147191343164863,3.153397650120125,4.83074626550504,0.3441938872611612,0.3164450776598233
